0, 0, 0
0.1, 0, 0
0.2, 0, 0
0.3, 0, 0
0.4, 0, 0
0.5, 0, 0
0.6, 0, 0
0.7, 0, 0
0.8, 0, 0
0.9, 0, 0
1, 0, 0
1.1, -1, 0
1.2, -1, 0
1.3, -1, 0
1.4, -1, 0
1.5, -1, 0
1.6, -1, 0
1.7, -1, -1
1.8, -1, -1
1.9, -1, -1
2, -1, -1
2.1, -1, -1
2.2, -1, -1
2.3, -1, -1
2.4, -1, -1
2.5, -1, -1
2.6, -1, -1
2.7, -1, -1
2.8, -1, -1
2.9, -1, -1
3, -1, -1
3.1, -1, -1
3.2, -1, -1
3.3, -1, -1
3.4, -1, -1
3.5, -1, -1
3.6, -1, -1
3.7, -1, -1
3.8, -1, -1
3.9, -1, -1
4, -1, -1
4.1, 0, -1
4.2, 0, -1
4.3, 0, -1
4.4, 0, -1
4.5, 0, -1
4.6, 0, -1
4.7, 0, -1
4.8, 0, -1
4.9, 0, -1
5, 0, -1
5.1, 0, -1
5.2, 0, -1
5.3, 0, -1
5.4, 0, -1
5.5, 0, -1
5.6, 0, -1
5.7, 0, -1
5.8, 0, -1
5.9, 0, -1
6, 0, -1
6.1, 0, -1
6.2, 0, -1
6.3, 0, -1
6.4, 0, -1
6.5, 0, -1
6.6, 0, -1
6.7, 0, -1
6.8, 0, -1
6.9, 0, -1
7, 0, -1
7.1, 0, -1
7.2, 0, -1
7.3, 0, -1
7.4, 0, -1
7.5, 0, -1
7.6, 0, -1
7.7, 0, -1
7.8, 0, -1
7.9, 1, -1
8, 1, -1
8.1, 1, -1
8.2, 1, -1
8.3, 1, -1
8.4, 1, -1
8.5, 1, -2
8.6, 1, -2
8.7, 1, -2
8.8, 1, -2
8.9, 2, -2
9, 2, -2
9.1, 2, -2
9.2, 2, -2
9.3, 2, -2
9.4, 2, -2
9.5, 2, -2
9.6, 2, -2
9.7, 2, -2
9.8, 2, -2
9.9, 2, -2
10, 2, -2
10.1, 2, -2
10.2, 2, -2
10.3, 2, -2
10.4, 2, -2
10.5, 2, -2
10.6, 2, -2
10.7, 2, -2
10.8, 2, -2
10.9, 2, -2
11, 2, -2
11.1, 2, -2
11.2, 2, -2
11.3, 2, -2
11.4, 2, -2
11.5, 2, -2
11.6, 2, -2
11.7, 2, -2
11.8, 2, -2
11.9, 2, -2
12, 2, -2
12.1, 2, -2
12.2, 2, -2
12.3, 2, -2
12.4, 2, -2
12.5, 2, -2
12.6, 2, -2
12.7, 2, -2
12.8, 2, -2
12.9, 2, -2
13, 2, -2
13.1, 2, -2
13.2, 2, -2
13.3, 2, -2
13.4, 2, -2
13.5, 2, -2
13.6, 2, -2
13.7, 2, -2
13.8, 2, -2
13.9, 2, -2
14, 2, -2
14.1, 2, -2
14.2, 2, -2
14.3, 2, -2
14.4, 2, -2
14.5, 2, -2
14.6, 2, -2
14.7, 2, -2
14.8, 2, -2
14.9, 2, -2
15, 2, -2
15.1, 2, -2
15.2, 2, -2
15.3, 2, -2
15.4, 2, -2
15.5, 2, -1
15.6, 2, -1
15.7, 2, -1
15.8, 2, -1
15.9, 2, -1
16, 2, -1
16.1, 2, -1
16.2, 2, -1
16.3, 2, -1
16.4, 2, -1
16.5, 2, -1
16.6, 2, -1
16.7, 2, -1
16.8, 2, -1
16.9, 2, -1
17, 2, -1
17.1, 2, -1
17.2, 2, -1
17.3, 2, -1
17.4, 2, -1
17.5, 2, -1
17.6, 2, -1
17.7, 2, -1
17.8, 2, -1
17.9, 2, -1
18, 2, -1
18.1, 2, -1
18.2, 2, -1
18.3, 1, -1
18.4, 1, -1
18.5, 1, -1
18.6, 1, -1
18.7, 1, -1
18.8, 1, -1
18.9, 1, -1
19, 1, -1
19.1, 1, -1
19.2, 1, -1
19.3, 1, -1
19.4, 1, -1
19.5, 1, -1
19.6, 1, -1
19.7, 1, -1
19.8, 1, -1
19.9, 1, -1
20, 1, -1
20.1, 1, -1
20.2, 1, -1
20.3, 1, -1
20.4, 1, -1
20.5, 1, -1
20.6, 1, -1
20.7, 0, -1
20.8, 0, -1
20.9, 0, -1
21, 0, -1
21.1, 0, -1
21.2, 0, -1
21.3, 0, -1
21.4, 0, -1
21.5, 0, -1
21.6, 0, -1
21.7, 0, -2
21.8, 0, -2
21.9, 0, -2
22, 0, -2
22.1, 0, -2
22.2, 0, -2
22.3, 0, -2
22.4, 0, -2
22.5, 0, -2
22.6, 0, -2
22.7, 0, -2
22.8, 0, -2
22.9, 0, -2
23, 0, -2
23.1, 0, -2
23.2, 0, -2
23.3, 0, -2
23.4, 0, -2
23.5, 0, -1
23.6, 0, -1
23.7, 0, -1
23.8, 0, -1
23.9, 0, -1
24, 0, -1
24.1, 0, 0
24.2, 0, 0
24.3, 0, 0
24.4, 0, 0
24.5, 0, 0
24.6, 0, 0
24.7, 0, 0
24.8, 0, 0
24.9, 0, 0
25, 0, 0
25.1, 0, 0
25.2, 0, 0
25.3, 0, 0
25.4, 0, 0
25.5, 0, 0
25.6, 0, 0
25.7, 1, 0
25.8, 1, 0
25.9, 1, 0
26, 1, 0
26.1, 1, 0
26.2, 1, 0
26.3, 1, 0
26.4, 1, 0
26.5, 1, 0
26.6, 1, 0
26.7, 1, 0
26.8, 1, 0
26.9, 1, 0
27, 1, 0
27.1, 1, -1
27.2, 1, -1
27.3, 1, -1
27.4, 1, -1
27.5, 1, -1
27.6, 1, -1
27.7, 1, -2
27.8, 1, -2
27.9, 1, -2
28, 1, -2
28.1, 1, -2
28.2, 1, -2
28.3, 1, -2
28.4, 1, -2
28.5, 1, -2
28.6, 1, -2
28.7, 1, -2
